Q86UP8	GTF2IRD2
Q86UQ0	ZNF589
Q86UZ6	ZBTB46
Q86V15	CASZ1
Q86V71	ZNF429
Q86VE0	MYPOP
Q86VK4	ZNF410
Q86W11	ZSCAN30
Q86WK9	PAQR7
Q86WP2	GPBP1
Q86XF7	ZNF575
Q86XN6	ZNF761
Q86XU0	ZNF677
Q86Y25	ZNF354C
Q86YE8	ZNF573
Q86YH2	ZNF280B
Q86YP4	GATAD2A
Q8HWS3	RFX6
Q8IUE0	TGIF2LY
Q8IUE1	TGIF2LX
Q8IUM7	NPAS4
Q8IUR6	CREBRF
Q8IUX7	AEBP1
Q8IV76	PASD1
Q8IVC4	ZNF584
Q8IVH2	FOXP4
Q8IVP9	ZNF547
Q8IW36	ZNF695
Q8IWI9	MGA
Q8IWY8	ZSCAN29
Q8IX15	HOMEZ
Q8IXF0	NPAS3
Q8IXT2	DMRTC2
Q8IXZ3	SP8
Q8IYA7	MKX
Q8IYB9	ZNF595
Q8IYI8	ZNF440
Q8IYN0	ZNF100
Q8IYX0	ZNF679
Q8IZ20	ZNF683
Q8IZ26	ZNF34
Q8IZC7	ZNF101
Q8IZM8	ZNF654
Q8N0Y2	ZNF444
Q8N100	ATOH7
Q8N141	ZFP82
Q8N143	BCL6B
Q8N184	ZNF567
Q8N187	CARF
Q8N196	SIX5
Q8N1G0	ZNF687
Q8N1L9	BATF2
Q8N1W2	ZNF710
Q8N2I2	ZNF619
Q8N2R0	OSR2
Q8N3J9	ZNF664
Q8N554	ZNF276
Q8N587	ZNF561
Q8N5A5	ZGPAT
Q8N5J4	SPIC
Q8N5P1	ZC3H8
Q8N680	ZBTB2
Q8N693	ESX1
Q8N720	ZNF655
Q8N782	ZNF525
Q8N7G0	POU5F2
Q8N7K0	ZNF433
Q8N7M2	ZNF283
Q8N7Q3	ZNF676
Q8N7R0	NANOGP1
Q8N7U7	TPRX1
Q8N823	ZNF611
Q8N859	ZNF713
Q8N883	ZNF614
Q8N895	ZNF366
Q8N8C0	ZNF781
Q8N8E2	ZNF513
Q8N8L2	ZNF491
Q8N8Y5	ZFP41
Q8N8Z8	ZNF441
Q8N972	ZNF709
Q8N988	ZNF557
Q8N9F8	ZNF454
Q8N9K5	ZNF565
Q8N9L1	ZIC4
Q8N9Z0	ZNF610
Q8NA42	ZNF383
Q8NAF0	ZNF579
Q8NAM6	ZSCAN4
Q8NAP3	ZBTB38
Q8NAP8	ZBTB8B
Q8NB15	ZNF511
Q8NB42	ZNF527
Q8NBB4	ZSCAN1
Q8NBF1	GLIS1
Q8NC26	ZNF114
Q8NCA9	ZNF784
Q8NCK3	ZNF485
Q8NCN2	ZBTB34
Q8ND82	ZNF280C
Q8NDP4	ZNF439
Q8NDQ6	ZNF540
Q8NDW4	ZNF248
Q8NDX6	ZNF740
Q8NDY6	BHLHE23
Q8NE65	ZNF738
Q8NEA6	GLIS3
Q8NEK5	ZNF548
Q8NEM1	ZNF680
Q8NEP9	ZNF555
Q8NF99	ZNF397
Q8NFJ8	BHLHE22
Q8NFW5	DMBX1
Q8NHV9	RHOXF1
Q8NHW3	MAFA
Q8NHY6	ZFP28
Q8NI51	CTCFL
Q8TA94	ZNF563
Q8TAF7	ZNF461
Q8TAK6	OLIG1
Q8TAQ5	ZNF420
Q8TAU0	NKX2-3
Q8TAU3	ZNF417
Q8TAW3	ZNF671
Q8TAX0	OSR1
Q8TB69	ZNF519
Q8TBC5	ZSCAN18
Q8TBJ5	FEZF2
Q8TBZ5	ZNF502
Q8TBZ8	ZNF564
Q8TC21	ZNF596
Q8TCN5	ZNF507
Q8TD17	ZNF398
Q8TD23	ZNF675
Q8TD94	KLF14
Q8TDD2	SP7
Q8TE12	LMX1A
Q8TE85	GRHL3
Q8TEY5	CREB3L4
Q8TEZ7	PAQR8
Q8TF32	ZNF431
Q8TF39	ZNF483
Q8TF45	ZNF418
Q8TF47	ZFP90
Q8WUU4	ZNF296
Q8WV37	ZNF480
Q8WVJ9	TWIST2
Q8WXI9	GATAD2B
Q8WXT5	FOXD4L4
Q8WY36	BBX
Q8WYA1	BMAL2
Q8WYK2	JDP2
Q8WYN3	CSRNP3
Q92481	TFAP2B
Q92570	NR4A3
Q92610	ZNF592
Q92618	ZNF516
Q92670	ZNF75CP
Q92731	ESR2
Q92753	RORB
Q92754	TFAP2C
Q92766	RREB1
Q92786	PROX1
Q92826	HOXB13
Q92858	ATOH1
Q92886	NEUROG1
Q92908	GATA6
Q92949	FOXJ1
Q92985	IRF7
Q92988	DLX4
Q969G2	LHX4
Q969J2	ZKSCAN4
Q969W8	ZNF566
Q96A47	ISL2
Q96AP4	ZUP1
Q96AV8	E2F7
Q96BA8	CREB3L1
Q96BF6	NACC2
Q96BR6	ZNF669
Q96BR9	ZBTB8A
Q96BV0	ZNF775
Q96C00	ZBTB9
Q96C28	ZNF707
Q96C55	ZNF524
Q96CS4	ZNF689
Q96CX3	ZNF501
Q96DT7	ZBTB10
Q96EG3	ZNF837
Q96EK4	THAP11
Q96GC6	ZNF274
Q96GE5	ZNF799
Q96H40	ZNF486
Q96H86	ZNF764
Q96HQ0	ZNF419
Q96HZ4	HES6
Q96I27	ZNF625
Q96IQ9	ZNF414
Q96IS3	RAX2
Q96IT1	ZNF496
Q96IU2	ZBED3
Q96JB3	HIC2
Q96JC4	ZNF479
Q96JG9	ZNF469
Q96JL9	ZNF333
Q96JM2	ZNF462
Q96JP5	ZFP91
Q96JS3	PGBD1
Q96K58	ZNF668
Q96K62	ZBTB45
Q96K75	ZNF514
Q96KM6	ZNF512B
Q96KN3	PKNOX2
Q96LI6	HSFY1
Q96LU7	MYRFL
Q96LW1	ZNF354B
Q96LW9	ZSCAN31
Q96LX8	ZNF597
